observationID,deploymentID,mediaID,eventID,eventStart,eventEnd,observationLevel,observationType,cameraSetupType,scientificName,count,lifeStage,sex,behavior,individualID,individualPositionRadius,individualPositionAngle,individualSpeed,bboxX,bboxY,bboxWidth,bboxHeight,classificationMethod,classifiedBy,classificationTimestamp,classificationProbability,observationTags,observationComments
SYFW0051_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0051,,2024-01-27T08:39:18-0600,2024-01-27T08:39:18-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Bethanie Royality-Lindman,12:28:09.675000,,,
SYFW0078_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0078,,2024-01-28T03:40:12-0600,2024-01-28T03:40:12-0600,media,unclassified,,Anatidae,1,,,,,,,,,,,,,Bethanie Royality-Lindman,12:33:02.503000,,,Swimming
SYFW0082_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0082,,2024-01-28T05:36:36-0600,2024-01-28T05:36:36-0600,media,unclassified,,Aves,1,,,,,,,,,,,,,Bethanie Royality-Lindman,12:33:57.183000,,,Flying
SYFW0098_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0098,,2024-01-28T07:00:36-0600,2024-01-28T07:00:36-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Bethanie Royality-Lindman,12:37:26.750000,,,Swimming
SYFW0100_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0100,,2024-01-28T07:02:30-0600,2024-01-28T07:02:30-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Bethanie Royality-Lindman,12:38:32.096000,,,Swimming 
SYFW0114_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0114,,2024-01-29T02:27:24-0600,2024-01-29T02:27:24-0600,media,unclassified,,Branta canadensis,1,,,,,,,,,,,,,Bethanie Royality-Lindman,12:40:10.828000,,,Swimming
SYFW0122_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0122,,2024-01-29T04:47:30-0600,2024-01-29T04:47:30-0600,media,unclassified,,Branta canadensis,6,Adult,,,,,,,,,,,,Bethanie Royality-Lindman,12:43:21.349000,,,Swimming
SYFW0123_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0123,,2024-01-29T10:50:52-0600,2024-01-29T10:50:52-0600,media,unclassified,,Branta canadensis,4,Adult,,,,,,,,,,,,Bethanie Royality-Lindman,12:47:21.920000,,,Swimming
SYFW0124_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0124,,2024-01-29T04:51:04-0600,2024-01-29T04:51:04-0600,media,unclassified,,Branta canadensis,4,Adult,,,,,,,,,,,,Bethanie Royality-Lindman,12:47:21.920000,,,Swimming
SYFW0126_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0126,,2024-01-29T04:51:34-0600,2024-01-29T04:51:34-0600,media,unclassified,,Branta canadensis,4,Adult,,,,,,,,,,,,Paul Moresco,20:39:18,,,Swimming in Video
SYFW0143_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0143,,2024-01-29T13:02:47-0600,2024-01-29T13:02:47-0600,media,unclassified,,Branta canadensis,1,Adult,Male,,,,,,,,,,,Paul Moresco,20:43:53,,,About to land in water
SYFW0144_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0144,,2024-01-29T07:03:00-0600,2024-01-29T07:03:00-0600,media,unclassified,,Branta canadensis,,,,,,,,,,,,,,Bethanie Royality-Lindman,,,,SYFW0144.MP4 | Video of goose landing in water
SYFW0145_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0145,,2024-01-29T13:36:14-0600,2024-01-29T13:36:14-0600,media,unclassified,,Branta canadensis,1,Adult,Male,,,,,,,,,,,Paul Moresco,20:44:42,,,Video landing in water
SYFW0171_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0171,,2024-01-29T09:15:16-0600,2024-01-29T09:15:16-0600,media,unclassified,,Anatidae,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:36:06.750000,,,Duck landing in water
SYFW0173_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0173,,2024-01-29T10:28:14-0600,2024-01-29T10:28:14-0600,media,unclassified,,Passeriformes,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:37:16.849000,,,Bird
SYFW0175_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0175,,2024-01-29T10:29:56-0600,2024-01-29T10:29:56-0600,media,unclassified,,,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:38:05.569000,,,Seagull
SYFW0183_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0183,,2024-01-30T11:22:39-0600,2024-01-30T11:22:39-0600,media,unclassified,,,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:53:55.492000,,,"Maybe a goose, maybe a duck"
SYFW0184_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0184,,2024-01-30T05:22:52-0600,2024-01-30T05:22:52-0600,media,unclassified,,Branta canadensis,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:41:25.469000,,,Canada Goose
SYFW0185_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0185,,2024-01-30T11:36:10-0600,2024-01-30T11:36:10-0600,media,unclassified,,Branta canadensis,1,,,,,,,,,,,,,Bethanie Royality-Lindman,16:41:25.469000,,,Canada Goose
SYFW0186_1,LearningPlatformBeaver-2024-01-31-Wildlife_Camera,SYFW0186,,2024-01-30T05:36:22-0600,2024-01-30T05:36:22-0600,media,unclassified,,Branta canadensis,2,,,,,,,,,,,,,Bethanie Royality-Lindman,16:41:25.469000,,,Canada Goose
