Common Name,speciesName,taxonRank,taxonID
Beaver,Castor canadensis,species,https://www.checklistbank.org/dataset/292011/taxon/RQPV
Bird,Aves,class,https://www.checklistbank.org/dataset/292011/taxon/V2
Black-crowned Night Heron,Nycticorax nycticorax,species,https://www.checklistbank.org/dataset/292011/taxon/485KR
Canada Goose,Branta canadensis,species,https://www.checklistbank.org/dataset/292011/taxon/5WRC3
Cormorant,Phalacrocoracidae,family,https://www.checklistbank.org/dataset/292011/taxon/62694
Coyote,Canis latrans,species,https://www.checklistbank.org/dataset/292011/taxon/QLXJ
Dog,Canis familiaris,species,
Double-crested Cormorant,Nannopterum auritum,species,https://www.checklistbank.org/dataset/292011/taxon/4FQQ5
Duck,Anatidae,family,https://www.checklistbank.org/dataset/292011/taxon/9H6K5
Goose,Anatidae,family,https://www.checklistbank.org/dataset/292011/taxon/9H6K5
Great Blue Heron,Ardea herodias,species,https://www.checklistbank.org/dataset/292011/taxon/GCHW
Green Heron,Butorides virescens,species,https://www.checklistbank.org/dataset/292011/taxon/NZ6M
Heron,Ardeidae,family,https://www.checklistbank.org/dataset/292011/taxon/6PB
Hooded Merganser,Lophodytes cucullatus,species,https://www.checklistbank.org/dataset/292011/taxon/3W3GS
Mallard Duck,Anas platyrhynchos,species,https://www.checklistbank.org/dataset/292011/taxon/DGP6
Muskrat,Ondatra zibethicus,species,https://www.checklistbank.org/dataset/292011/taxon/49JSC
Pied-billed Grebe,Podilymbus podiceps,species,https://www.checklistbank.org/dataset/292011/taxon/4KPPM
Rabbit,Leporidae,family,https://www.checklistbank.org/dataset/292011/taxon/BX2
Rabbit (Eastern Cottontail),Sylvilagus floridanus,species,https://www.checklistbank.org/dataset/292011/taxon/53N8X
Red-breasted Merganser,Mergus serrator,species,https://www.checklistbank.org/dataset/292011/taxon/3ZTRQ
Sparrow,Passeriformes,order,https://www.checklistbank.org/dataset/292011/taxon/3RL
Squirrel (Eastern Gray Squirrel),Sciurus carolinensis,species,https://www.checklistbank.org/dataset/292011/taxon/7WTG3
